"","Longitude","Latitude","radiation","nightlight_450","nightlight_4950","nightlight_3150","nightlight_900","elevation","industry_1000","industry_100","industry_25","industry_3000","industry_300","industry_5000","industry_500","industry_50","population_1000","population_3000","population_5000","road_class_1_1000","road_class_1_100","road_class_1_25","road_class_1_3000","road_class_1_300","road_class_1_5000","road_class_1_500","road_class_1_50","road_class_2_1000","road_class_2_100","road_class_2_25","road_class_2_3000","road_class_2_300","road_class_2_5000","road_class_2_500","road_class_2_50","road_class_3_1000","road_class_3_100","road_class_3_25","road_class_3_3000","road_class_3_300","road_class_3_5000","road_class_3_500","road_class_3_50","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_1","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","trop_mean_filt","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_1","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","Countrycode","AirQualityStation","Altitude","MeasurementType","AirQualityStationType","AirQualityStationArea","EquivalenceDemonstrated","MeasurementEquipment","InletHeight","BuildingDistance","KerbDistance","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"11",4.401389,51.921111,2.890478,40.733612,32.288898,31.669233,38.205795,5.95855,208845,0,0,3216060,0,6479295,0,0,13083.150391,80490.617188,183563.875,5866.783203,0,0,46825.925781,0,85294.289062,215.594803,0,0,0,0,1135.281494,0,16764.816406,0,0,30942.337891,979.108643,31.938206,207265.171875,5662.296875,520733.0625,12004.908203,191.991547,13.895787,7.903017,5.18268,1.92672,5.366302,8.485989,8.742904,14.811716,18.419867,18.289766,17.924931,14.420329,690.975586,4.984532,3.858208,4.739724,3.539002,4.59613,4.250682,3.569631,3.459891,4.081281,3.480659,3.200596,3.578919,"NL","STA-NL00494",3,"automatic","background","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E",3,-999,-999,32.2217213114754,30.2745901639344,28.6444897959184,29.3130612244898,30.9024193548387,35.8831325301205,41.314859437751,43.8654618473896,41.2157894736842,37.0754098360656,33.4616666666667,29.7840163934426,27.4975806451613,26.3506122448979,26.0919028340081,27.6370967741936,28.7199203187251,30.6108,31.9645161290323,34.3485829959514,36.8802419354838,37.2235772357724,36.609756097561,35.1060728744939
"12",4.431111,51.938056,2.892714,24.238953,26.79558,26.386477,26.084949,2.840696,92820,0,0,1928310,6375,3959385,14535,0,7521.097168,62176.007812,159610.3125,10141.839844,367.458069,72.122757,34136.789062,1379.891113,67263.21875,2794.318115,175.936859,563.357239,0,0,14742.488281,0,35716.667969,0,0,38128.367188,441.65564,41.849705,223737.5625,4022.281494,592294.6875,12006.574219,98.35054,13.881026,7.867388,5.153878,1.887191,5.357082,8.482149,8.735952,14.821726,18.424896,18.287291,17.918697,14.403033,687.426697,4.930758,3.811156,4.688855,3.500392,4.556754,4.217846,3.540052,3.435337,4.048807,3.447886,3.16971,3.543744,"NL","STA-NL00491",0,"automatic","traffic","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/BAM1020",3,27,3,34.0723076923077,31.8323076923077,30.8734615384616,31.685,36.0019230769231,45.7611538461539,52.7196153846154,53.6180769230769,50.2207692307692,45.8440154440154,41.453125,38.2647286821706,35.7841085271317,35.39765625,36.8120622568094,39.5338461538462,41.1984615384615,41.0238461538462,40.2957692307692,39.7619230769231,40.06,40.2953846153846,39.0326923076923,36.7384615384615
"13",4.45084143,51.78749847,2.945869,2.097296,3.625221,2.700546,2.310057,0.473473,30600,0,0,66555,0,728790,0,0,575.486633,7244.086914,27711.658203,547.322998,0,0,13421.128906,0,27769.839844,0,0,0,0,0,2297.846436,0,14884.40625,0,0,4059.094238,0,0,41981.644531,141.905975,128425.960938,822.885376,0,13.81706,7.683803,5.019895,1.734976,5.413476,8.524087,8.696323,14.909726,18.558702,18.295895,17.906834,14.335736,668.850342,4.659071,3.60485,4.491637,3.334902,4.376619,4.099631,3.38567,3.334824,3.927612,3.329554,3.03651,3.408318,"NL","STA-NL00437",-1,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR",3,-999,-999,19.3270616113744,18.5695089285714,18.593488372093,18.5199224806202,20.0446124031008,22.7664341085271,24.6020542635659,24.7060311284047,23.4200775193798,21.0692607003891,18.7383657587549,16.7454085603113,15.4374015748032,15.1932283464567,15.1841568627451,16.2016342412452,17.8349612403101,19.3511196911197,20.6871042471042,22.2281081081081,22.9258687258687,22.8718532818533,22.0475289575289,21.4975675675676
"14",4.461667,51.926944,2.878923,41.695282,29.350197,35.605614,40.914238,3.714035,3315,0,0,831555,2040,4142730,3315,0,8921.310547,70503.148438,171525.9375,143.95433,0,0,26772.740234,0,54346.449219,0,0,4397.154297,347.531494,26.208359,20130.001953,1139.474243,46797.625,2267.769531,80.194672,53498.320312,998.030457,77.440941,401415.5625,6465.899414,773510.125,14436.209961,221.118164,13.860808,7.815418,5.112766,1.832902,5.351068,8.482664,8.729436,14.844162,18.446539,18.291073,17.915413,14.380356,677.389709,4.844626,3.73686,4.612236,3.439575,4.494985,4.168795,3.491539,3.397906,4.000583,3.399544,3.122433,3.490128,"NL","STA-NL00493",0,"automatic","traffic","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,9,2,38.5476923076923,34.5166023166023,31.2258687258687,31.6092664092664,37.4366795366795,48.3393822393822,56.7346303501946,60.8385214007782,57.7728682170543,52.6748062015504,47.9543650793651,44.585546875,42.7221789883269,43.4109803921568,45.02265625,47.43861003861,48.3165384615385,50.5757692307693,50.8467181467181,51.3972972972973,51.7783783783783,50.2161538461539,48.2203846153846,43.3930769230769
"15",4.480289,51.915,2.868883,72.526657,32.061462,35.677189,67.316032,6.4571,0,0,0,348330,0,3789300,0,0,7720.691406,68352.921875,177076.90625,0,0,0,12049.003906,0,77977.453125,0,0,4076.102539,0,0,22072.820312,25.13953,47047.417969,1754.178955,0,46294.105469,748.261536,25.001644,444277.3125,5844.774414,851745.375,15643.337891,131.036438,13.850062,7.788506,5.091286,1.804079,5.346386,8.481642,8.725298,14.854131,18.454733,18.291475,17.912489,14.368075,671.567505,4.801643,3.699578,4.573069,3.409029,4.46391,4.143636,3.467546,3.378862,3.97579,3.374624,3.098418,3.462848,"NL","STA-NL00418",3,"automatic","background","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,-999,-999,32.8347826086957,30.6889453125,28.5249027237354,27.9417509727626,29.3882879377432,33.8726459143969,39.5817120622568,42.7647859922179,40.5950194552529,36.9359922178988,33.3204296875,30.3999212598425,27.5956470588235,26.9217054263566,27.3311240310077,28.5964864864865,30.4181538461539,32.7905,34.4140769230769,35.7833076923077,37.0007692307692,37.7663846153846,36.9334230769231,34.8301538461539
"16",4.48111105,51.89111328,2.871824,30.488323,33.763676,34.110363,30.273624,5.010172,76500,0,0,919785,0,4418895,22695,0,7972.156738,61809.871094,174585.9375,2133.421387,0,0,8484.404297,29.114676,83893.984375,492.428284,0,6605.775391,371.324799,127.531685,22858.277344,1300.583496,47187.152344,2489.973877,185.647461,54302.363281,770.122314,90.676483,349289.25,7239.32666,812196.25,18688.234375,212.310791,13.849641,7.78745,5.090444,1.802948,5.346203,8.481602,8.725136,14.854521,18.455055,18.291491,17.912374,14.367594,669.098572,4.799957,3.698116,4.571533,3.407831,4.462691,4.14265,3.466605,3.378115,3.974818,3.373646,3.097477,3.461779,"NL","STA-NL00487",0,"automatic","traffic","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,15,2,33.4196153846154,30.2942307692308,28.492277992278,29.1434615384615,34.0526923076923,44.0988461538461,49.5646153846154,51.0269230769231,49.1656370656371,45.885546875,42.8121568627451,41.3688976377953,40.2070038910506,41.1496031746032,44.005078125,47.2910852713178,49.2378378378378,50.5165384615385,49.82,49.1965384615385,47.2553846153846,43.6676923076923,40.1769230769231,37.4076923076923
"17",4.48749971,51.89389038,2.870884,31.168879,33.077328,32.569534,31.070393,4.126565,77010,0,0,756585,4335,3795165,25755,0,8095.754883,61986.890625,176376.234375,876.39563,0,0,8665.792969,0,90106.460938,0,0,5733.716309,0,0,24357.755859,0,46099.769531,917.734863,0,58315.210938,502.689636,0,362755.84375,6472.503906,847025,15502.787109,45.722263,13.845848,7.777952,5.082862,1.792775,5.344551,8.481241,8.723676,14.85804,18.457947,18.291634,17.911343,14.363259,668.177124,4.784787,3.684958,4.557709,3.397049,4.451724,4.13377,3.458138,3.371394,3.966067,3.364851,3.089001,3.452151,"NL","STA-NL00488",0,"automatic","background","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/BAM1020",3,-999,-999,28.5317829457364,26.8038759689922,25.0678294573644,24.7558139534884,26.3104651162791,31.0972868217054,35.4151162790698,37.4201550387597,35.6879377431907,32.4462745098039,28.9403921568628,26.590625,24.0031746031746,23.2320158102767,23.7941634241245,25.7070038910506,27.8706563706564,30.4918918918919,32.0061776061776,33.3410852713178,34.3678294573643,33.9961240310078,32.6127906976744,31.0333333333333
"18",4.510286,52.298056,2.992701,0.679495,2.478141,1.630196,0.891298,4.071624,0,0,0,85170,0,244800,0,0,306.152588,6725.953125,26633.671875,0,0,0,0,0,0,0,0,0,0,0,8420.268555,0,21475.515625,0,0,3071.63501,0,0,25278.183594,0,90419.492188,653.788879,0,14.13208,8.764112,5.88167,2.787339,5.088434,8.117249,8.684128,14.062593,17.532236,17.921747,17.816704,14.80622,593.272827,7.365203,6.010277,6.772141,5.23046,6.368244,5.513308,5.045282,4.530669,5.358509,4.714606,4.494425,5.038278,"NL","STA-NL00444",4,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43w",4,-999,-999,16.0561111111111,14.760193050193,14.7364478764479,14.903166023166,14.8496525096525,15.4719305019305,16.9646718146718,19.0753281853282,18.7322093023256,16.3257364341085,15.0582101167315,13.8534117647059,12.8164960629921,11.8731102362205,11.6031128404669,11.99296875,13.4749416342412,14.8886872586873,15.402277992278,15.6444615384615,15.6804615384615,16.1245769230769,15.9353076923077,15.7141538461538
"19",4.513889,51.652778,2.928369,1.007238,4.26175,2.220249,0.985794,1.454404,0,0,0,109140,0,2847585,0,0,187.82988,3414.76416,11105.457031,0,0,0,18100.267578,0,40448.300781,0,0,0,0,0,0,0,1896.865723,0,0,3170.013672,0,0,39872.835938,843.844055,98409.046875,1553.133789,0,13.804028,7.483669,4.886459,1.629421,5.595303,8.673687,8.725655,15.163895,18.940853,18.401943,18.06332,14.355121,673.614624,4.499702,3.539553,4.425081,3.289823,4.290405,4.081439,3.297206,3.28747,3.882767,3.289142,2.960334,3.380538,"NL","STA-NL00246",1,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR",3,-999,-999,20.0559227467811,19.2194605809129,18.6921825396825,18.4738888888889,19.0598015873016,21.6378174603175,24.7941434262948,25.46116,23.8699203187251,21.5678884462152,19.0752569169961,16.8391633466135,15.19524,14.593984063745,14.6808764940239,15.2948031496063,17.332140077821,19.3032684824903,20.693813229572,21.7092607003891,22.1708171206226,22.0982101167315,21.670233463035,21.42453125
"20",4.57472229,51.86888885,2.884641,51.990955,18.609388,21.25992,46.462193,-0.487388,28815,0,0,1392555,0,3073515,0,0,3876.730225,49713.449219,129036.390625,22668.818359,123.275177,0,58890.535156,2841.865479,111536.390625,6534.614258,0,0,0,0,32.688122,0,10431.598633,0,0,7942.541016,118.269127,26.64077,191692.734375,1334.751343,490730.84375,2131.062988,62.159561,13.784901,7.649024,4.976083,1.651852,5.310801,8.45107,8.682707,14.870918,18.463875,18.276241,17.874136,14.298595,644.011169,4.628313,3.559155,4.422048,3.293458,4.342627,4.046681,3.373139,3.306728,3.875768,3.277449,3.00505,3.359387,"NL","STA-NL00489",0,"automatic","traffic","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,100,100,30.3496153846154,27.9942307692308,27.2138461538462,28.4276923076923,34.8965384615385,48.4930769230769,56.0380769230769,53.8488461538462,49.9969230769231,45.9741176470588,42.2733333333333,39.8482071713147,38.7903100775194,39.0213178294574,41.7525096525097,44.6526923076923,46.2734615384615,45.8165384615384,43.8865384615385,41.5811538461539,40.7411538461538,40.2173076923077,37.5692307692308,34.6284615384615
"21",4.601922,52.463014,2.965518,21.747063,13.814868,23.224112,24.862772,3.759854,79815,0,0,3112530,0,4585665,11475,0,4523.410156,34488.921875,68777.945312,0,0,0,0,0,26476.78125,0,0,0,0,0,0,0,19869.976562,0,0,23857.150391,457.923218,50.898407,72585.765625,3174.610107,170712.3125,6451.119629,177.134323,14.068481,8.769836,5.855469,2.796631,4.934082,7.985077,8.590454,13.828766,17.198425,17.742035,17.672821,14.754883,551.850586,7.436559,6.072813,6.780634,5.229815,6.439229,5.467525,5.09497,4.570716,5.34714,4.701925,4.502548,5.014073,"NL","STA-NL00551",1,"automatic","industrial","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",4,-999,-999,24.73984375,24.623828125,24.071875,23.406640625,24.085546875,28.255905511811,30.3094488188976,31.3243137254902,31.6454901960784,31.0164705882353,28.3308300395257,26.6884462151394,25.9693227091634,26.5741035856574,28.1509881422925,28.6833992094862,29.7338582677165,30.1168627450981,29.676862745098,29.475294117647,29.297265625,28.075,27.852734375,26.134765625
"22",4.603333,52.493889,2.964478,30.15247,15.350424,22.878799,29.311232,8.471406,394485,0,0,3099015,9435,4363305,61455,0,4416.48291,27493.570312,70934.96875,0,0,0,0,0,8977.429688,0,0,0,0,0,4014.477051,0,9708.232422,0,0,7974.416016,56.599049,0,26547.53125,1390.607178,210931.40625,3098.354248,0,14.068481,8.769836,5.855469,2.796631,4.934082,7.985077,8.590454,13.828766,17.198425,17.742035,17.672821,14.754883,518.857117,7.436559,6.072813,6.780634,5.229815,6.439229,5.467525,5.09497,4.570716,5.34714,4.701925,4.502548,5.014073,"NL","STA-NL00553",7,"automatic","industrial","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43i",4,-999,-999,20.3572549019608,20.921568627451,20.704705882353,20.9945098039216,21.2854901960784,22.2635294117647,23.4008097165992,24.6709163346614,23.9976377952756,22.5710317460317,19.9522088353414,17.9596774193548,16.6131147540983,15.5113821138211,15.1463709677419,15.1252,16.1525691699605,17.2771653543307,18.7645669291339,19.60234375,19.65625,20.458984375,20.126953125,19.781640625
